Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
450-1650-ND,TE CONNECTIVITY ALCOSWITCH,1825910-6,,1,0,0,13 Weeks,SWITCH TACTILE SPST-NO 0.05A 24V,,RoHS Compliant,Lead free,Not Available
296-14857-1-ND,TEXAS INSTRUMENTS (VA),SN74HC595DR,,4,0,0,9 Weeks,IC 8BIT SHIFT REG 3ST-OUT 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
296-15777-1-ND,TEXAS INSTRUMENTS (VA),ULN2803ADWR,,4,0,0,15 Weeks,TRANS 8NPN DARL 50V 0.5A 18SO,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
LTC1799CS5#TRMPBFCT-ND,LINEAR TECHNOLOGY (VA),LTC1799CS5#TRMPBF,,1,0,0,6 Weeks,IC OSC SILICON PROG TSOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
987-1733-ND,TT ELECTRONICS/BI,P160KNP-0QC15B50K,,3,0,0,11 Weeks,POT 50K OHM 1/5W PLASTIC LINEAR,,RoHS Compliant,Lead free,Unaffected Jun-2016
399-1113-1-ND,KEMET (VA),C0805C220J5GACTU,,2,0,0,15 Weeks,CAP CER 22PF 50V C0G/NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
399-4925-1-ND,KEMET (VA),C0805C106K8PACTU,,1,0,0,14 Weeks,CAP CER 10UF 10V X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
P10KADCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-P06J103V,,1,0,0,17 Weeks,RES SMD 10K OHM 5% 1/2W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
P150ACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ151V,,2,0,0,40 Weeks,RES SMD 150 OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
160-1446-1-ND,LITE-ON INC (VA),LTST-C191KGKT,,1,0,0,14 Weeks,LED GREEN CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
160-1647-1-ND,LITE-ON INC (VA),LTST-C191TBKT,,1,0,0,14 Weeks,LED BLUE CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
679-2453-ND,APEM INC.,MJTP1250,,16,0,0,15 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Jun-2016
445-6396-1-ND,TDK CORPORATION (VA),MLZ2012M100WT000,,1,0,0,10 Weeks,FIXED IND 10UH 350MA 470 MOHM,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
FMMT614CT-ND,DIODES INCORPORATED (VA),FMMT614TA,,4,0,0,16 Weeks,TRANS NPN DARL 100V 0.5A SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
887-2014-ND,TXC CORPORATION,9B-16.000MAAE-B,,1,0,0,13 Weeks,CRYSTAL 16.0000MHZ 12PF T/H,,RoHS Compliant,Lead free,Not Available
ED3050-5-ND,ON SHORE TECHNOLOGY INC,ED281DT,,1,0,0,10 Weeks,CONN IC DIP SOCKET 28POS TIN,,RoHS Compliant,Lead free,Unaffected Jun-2016
